	Tax. Classification(Phylum)	Count_t140m	Count_t164m	Count_t174m
0	Archaea; Candidatus Aenigmarchaeota	1.0	0	0
1	Archaea; Candidatus Bathyarchaeota	83.0	134.0	232.0
2	Archaea; Candidatus Lokiarchaeota	1.0	16.0	0
3	Archaea; Candidatus Micrarchaeota	10.0	24.0	9.0
4	Archaea; Candidatus Nanohaloarchaeota	2.0	1.0	0
5	Archaea; Candidatus Thorarchaeota	6.0	23.0	9.0
6	Archaea; Candidatus Woesearchaeota	2.0	8.0	11.0
7	Archaea; Crenarchaeota	73.0	135.0	48.0
8	Archaea; Euryarchaeota	358.0	780.0	316.0
9	Archaea; NA	70.0	284.0	97.0
10	Archaea; Thaumarchaeota	573.0	2493.0	443.0
11	Bacteria; Acidobacteria	18115.0	68780.0	29845.0
12	Bacteria; Actinobacteria	14667.0	47798.0	15763.0
13	Bacteria; Aquificae	49.0	183.0	67.0
14	Bacteria; Armatimonadetes	579.0	1796.0	759.0
15	Bacteria; Bacteroidetes	12308.0	25565.0	12367.0
16	Bacteria; Balneolaeota	27.0	105.0	48.0
17	Bacteria; Caldiserica	11.0	18.0	5.0
18	Bacteria; Calditrichaeota	23.0	57.0	29.0
19	Bacteria; Candidatus Acetothermia	11.0	34.0	21.0
20	Bacteria; Candidatus Adlerbacteria	4.0	32.0	4.0
21	Bacteria; Candidatus Amesbacteria	4.0	22.0	19.0
22	Bacteria; Candidatus Aminicenantes	89.0	229.0	87.0
23	Bacteria; Candidatus Andersenbacteria	4.0	0	0
24	Bacteria; Candidatus Atribacteria	13.0	25.0	22.0
25	Bacteria; Candidatus Azambacteria	4.0	16.0	6.0
26	Bacteria; Candidatus Beckwithbacteria	2.0	19.0	7.0
27	Bacteria; Candidatus Berkelbacteria	24.0	41.0	24.0
28	Bacteria; Candidatus Blackburnbacteria	2.0	0	4.0
29	Bacteria; Candidatus Buchananbacteria	15.0	20.0	5.0
30	Bacteria; Candidatus Campbellbacteria	2.0	2.0	7.0
31	Bacteria; Candidatus Chisholmbacteria	3.0	7.0	5.0
32	Bacteria; Candidatus Cloacimonetes	38.0	72.0	25.0
33	Bacteria; Candidatus Coatesbacteria	3.0	18.0	2.0
34	Bacteria; Candidatus Collierbacteria	4.0	14.0	13.0
35	Bacteria; Candidatus Colwellbacteria	1.0	6.0	1.0
36	Bacteria; Candidatus Curtissbacteria	13.0	40.0	12.0
37	Bacteria; Candidatus Dadabacteria	31.0	134.0	51.0
38	Bacteria; Candidatus Daviesbacteria	34.0	72.0	31.0
39	Bacteria; Candidatus Delongbacteria	6.0	8.0	4.0
40	Bacteria; Candidatus Desantisbacteria	13.0	40.0	16.0
41	Bacteria; Candidatus Doudnabacteria	39.0	96.0	61.0
42	Bacteria; Candidatus Edwardsbacteria	16.0	58.0	26.0
43	Bacteria; Candidatus Eisenbacteria	88.0	194.0	75.0
44	Bacteria; Candidatus Falkowbacteria	47.0	52.0	7.0
45	Bacteria; Candidatus Firestonebacteria	33.0	42.0	21.0
46	Bacteria; Candidatus Fischerbacteria	9.0	24.0	17.0
47	Bacteria; Candidatus Fraserbacteria	8.0	15.0	8.0
48	Bacteria; Candidatus Giovannonibacteria	54.0	106.0	14.0
49	Bacteria; Candidatus Glassbacteria	35.0	72.0	22.0
50	Bacteria; Candidatus Gottesmanbacteria	31.0	109.0	36.0
51	Bacteria; Candidatus Gracilibacteria	156.0	0	0
52	Bacteria; Candidatus Handelsmanbacteria	77.0	165.0	84.0
53	Bacteria; Candidatus Harrisonbacteria	8.0	4.0	3.0
54	Bacteria; Candidatus Hydrogenedentes	6.0	32.0	15.0
55	Bacteria; Candidatus Jorgensenbacteria	2.0	8.0	5.0
56	Bacteria; Candidatus Kaiserbacteria	35.0	70.0	60.0
57	Bacteria; Candidatus Kerfeldbacteria	1.0	15.0	4.0
58	Bacteria; Candidatus Komeilibacteria	1.0	12.0	4.0
59	Bacteria; Candidatus Kryptonia	34.0	79.0	46.0
60	Bacteria; Candidatus Kuenenbacteria	5.0	7.0	4.0
61	Bacteria; Candidatus Latescibacteria	29.0	58.0	29.0
62	Bacteria; Candidatus Levybacteria	22.0	97.0	57.0
63	Bacteria; Candidatus Lindowbacteria	25.0	90.0	23.0
64	Bacteria; Candidatus Liptonbacteria	10.0	21.0	8.0
65	Bacteria; Candidatus Lloydbacteria	5.0	24.0	10.0
66	Bacteria; Candidatus Magasanikbacteria	38.0	58.0	44.0
67	Bacteria; Candidatus Margulisbacteria	5.0	36.0	6.0
68	Bacteria; Candidatus Marinimicrobia	22.0	79.0	15.0
